weight_scibert,silhouette_score,ari,nmi,within_category_similarity,combined_score
0.0,-0.10810185,0.09089227849982782,0.21504910736677435,0.903076409591782,0.2308779141569008
0.1,-0.10030803,0.09323975734027361,0.21885957332738434,0.9055231423522546,0.23531804268360054
0.2,-0.07345774,0.0976755133975655,0.22488939230642785,0.9052656020849396,0.24601771871425449
0.30000000000000004,-0.03582891,0.14038269032228978,0.27504810212569547,0.901072765439509,0.28005684855965873
0.4,0.006168518,0.1659647498406535,0.3070765208317521,0.8943784674325777,0.30604215516879724
0.5,0.026231136,0.204502901875118,0.3204013731130958,0.8797179230616475,0.3208339177731848
0.6000000000000001,0.04336828,0.2663000280513851,0.3735243076018086,0.8618829102258989,0.3507043639161782
0.7000000000000001,0.053969685,0.27016639524405844,0.37524261991702745,0.8456902038172751,0.35193501128385307
0.8,0.056021843,0.2637656611799953,0.3742014372091075,0.8249409711720416,0.346808310564806
0.9,0.056052968,0.22345937825884382,0.32869863384439607,0.8070157573209572,0.32152050764107853
1.0,0.051392958,0.21538798241613566,0.3153072596824997,0.7929289566399713,0.3116734529864219
